publish_date,headline_category,headline_text
2001-11-22 00:00:00,NTPC,NTPC roadshow focuses on power reforms
2001-11-22 00:00:00,ONGC,Reliance may get 3 CBM blocks; ONGC-IOC 2
2001-11-22 00:00:00,NTPC,NTPC gets tough with Bihar; Orissa; UP; MP
2001-11-25 00:00:00,NTPC,NTPC plea dismissed
2001-11-26 00:00:00,ICICI,BPL Mobile; ICICI Bank launch co-branded credit card
2001-11-27 00:00:00,ONGC,ONGC funds for AMC projects
2001-11-27 00:00:00,HDFC,Tata Fin is talking to HDFC; IFC
2001-11-28 00:00:00,ONGC,ONGC rejects British Gas offer for oil fields
2001-12-02 00:00:00,SBI,SBI housing loan stall
2001-12-02 00:00:00,NTPC,NTPC threatens to cut power to UP; MP; Orissa
2001-12-03 00:00:00,ONGC,ONGC on Rs 800 cr modernisation drive
2001-12-03 00:00:00,ICICI,ICICI cuts home finance rates
2001-12-04 00:00:00,NTPC,Govt panics as NTPC gives blackout notice
2001-12-06 00:00:00,SBI,SBI interconnects ATM in 9 cities
2001-12-07 00:00:00,SBI,SBI unlikely to cut prime lending rate
2001-12-07 00:00:00,ICICI,ICICI floats home loan war
2001-12-08 00:00:00,NTPC,State to float bonds to ward off NTPC threat
2001-12-09 00:00:00,HDFC,HDFC should reduce interest rates
2001-12-09 00:00:00,ONGC,ONGC strikes oil in Bassein East
2001-12-10 00:00:00,ITC,Turf war at RWITC
2001-12-11 00:00:00,ONGC,ONGC well leak still to be plugged
2001-12-13 00:00:00,SBI,Tatas; Bombay Dyeing; SBI top US-64 redemptions
2001-12-14 00:00:00,SBI,SBI 'cheats' Doordarshan
2001-12-16 00:00:00,NTPC,Centre wants NTPC to buy LNG from Petronet
2001-12-18 00:00:00,HCL,HCL Tech shopping for US; Aussie firms
2001-12-19 00:00:00,NTPC,NTPC workers' programmes inaugurated
2001-12-20 00:00:00,HDFC,HDFC Standard Life branches out to Ludhiana
2001-12-20 00:00:00,ICICI,ICICI; Prudential to pump more in insu JV
2001-12-20 00:00:00,ONGC,CBI raids residences of senior ONGC officials
2001-12-20 00:00:00,ICICI,ICICI; Prudential to pump Rs 80 cr in insurance venture
2001-12-21 00:00:00,NTPC,Power ministry dismisses proposal of NTPC divestment
2001-12-21 00:00:00,NTPC,NTPC to give CIL Rs 800 cr for Kahalgaon project
2001-12-22 00:00:00,ITC,ITC Bhadrachalam shareholders approve merger
2001-12-23 00:00:00,NTPC,NTPC not to cut power to MP; UP; Punjab
2001-12-23 00:00:00,ITC,Panja elected president of AITC faction
2001-12-24 00:00:00,NTPC,NTPC quotes Rs 120-150cr for SAIL power unit
2001-12-25 00:00:00,NTPC,NTPC bags Quality Circle awards
2001-12-27 00:00:00,NTPC,NTPC hydro power foray fuels turf war
2001-12-28 00:00:00,ICICI,ICICI launches first network branch
2002-01-01 00:00:00,HDFC,HDFC slashes lending rate for housing loans
2002-01-02 00:00:00,ONGC,ONGC to better its $300-m bid for Panna-Mukta
2002-01-04 00:00:00,ONGC,ONGC to invest Rs 100cr in gas exploration
2002-01-04 00:00:00,ONGC,OIL; ONGC to further intensify exploration in North-East
2002-01-04 00:00:00,NTPC,NTPC's profits may fall by Rs 900cr
2002-01-06 00:00:00,HCL,Govt to appoint new advisors for HCL
2002-01-08 00:00:00,ICICI,UTI-ISL; ICICI mull presence in Bahrain
2002-01-08 00:00:00,SBI,SBI installs video conferencing network
2002-01-10 00:00:00,HCL,Govt invites bids for appointing advisors for SCI; HCL
2002-01-10 00:00:00,HDFC,HDFC Liquid Fund declares weekly dividend
2002-01-10 00:00:00,NTPC,NTPC director awarded as best corp manager
2002-01-11 00:00:00,NTPC,NTPC campaign for preventive vigilance
2002-01-13 00:00:00,NTPC,Pay up dues or face supply cut; NTPC to Gujarat
2002-01-14 00:00:00,HCL,HCL Info launches India's first P4-enabled server
2002-01-14 00:00:00,ICICI,Moody's rates ICICI above India's rating
2002-01-16 00:00:00,SBI,SBI to set up video-conferencing training centre
2002-01-16 00:00:00,NTPC,GAIL talks to NTPC; Tata Power for Dabhol
2002-01-17 00:00:00,ONGC,IOC; ONGC not to be referred to divestment panel
2002-01-18 00:00:00,HCL,HCL Infosystems Q3 sales up 15%
2002-01-18 00:00:00,SBI,SBI aims at increasing export credit exposure
2002-01-18 00:00:00,SBI,Illegal withdrawals from SBI account
2002-01-19 00:00:00,ITC,ITC feels the heat of anti-smoking campaign
2002-01-19 00:00:00,ICICI,ICICI bullish on lending to farm sector
2002-01-20 00:00:00,ITC,ITC likely open Kolkata; Mumbai Hotels by year end
2002-01-21 00:00:00,HDFC,HDFC insurance for home loans
2002-01-22 00:00:00,ICICI,ICICI Bank Q3 net up 73% at Rs 70.02 cr
2002-01-23 00:00:00,ONGC,ONGC loses Rs 700 cr due to pilferage
2002-01-23 00:00:00,NTPC,Kerala says no to NTPC demand
2002-01-24 00:00:00,HDFC,HDFC Mutual declares 6.75% dividend
2002-01-24 00:00:00,NTPC,NTPC withdraws threat to cut GEB supply
2002-01-24 00:00:00,HCL,I-T searches HCL investment companies
2002-01-24 00:00:00,SBI,SBI Cards: Largest issuer of Visa card
2002-01-25 00:00:00,HCL,HCL tax evasion likely to be Rs 100cr
2002-01-25 00:00:00,NTPC,NTPC director raises 'save power' placard
2002-01-26 00:00:00,ICICI,ICICI profit inches up 1.2%; Tisco dips 73%
2002-01-26 00:00:00,NTPC,NTPC workshop concludes
2002-01-27 00:00:00,ICICI,ICICI bank shareholders approve merger with ICICI
2002-01-29 00:00:00,HDFC,HDFC Chubb General Insurance launched
2002-01-29 00:00:00,SBI,SBI scheme to give quick aid to Cos hit by slowdown
2002-01-30 00:00:00,ONGC,ONGC; OIL to get import parity price for crude
2002-01-31 00:00:00,ITC,Magic Stride for RWITC
2002-01-31 00:00:00,SBI,SBI net rides on other income; RPL profits dip
2002-01-31 00:00:00,ICICI,ICICI shareholders OK merger with ICICI Bank
2002-02-03 00:00:00,ONGC,IOC; ONGC; GAIL to be roped in for divestment
2002-02-04 00:00:00,NTPC,Prime Minister's highest Shram Award to NTPC employee
2002-02-05 00:00:00,ICICI,Bajaj Auto; ICICI in pact to offer two-wheeler loans
2002-02-12 00:00:00,ONGC,Finance Ministry eyes ONGC reserves
2002-02-14 00:00:00,SBI,Lazard-SBI Cap appointed advisors for SCI disinvestment
2002-02-15 00:00:00,SBI,Provide PSU banks level playing field: SBI chairman
2002-02-16 00:00:00,NTPC,NTPC's pavilion in expo wins prize
2002-02-16 00:00:00,ONGC,ONGC suspends three officers
2002-02-18 00:00:00,ICICI,ICICIdirect to offer online derivatives trade
2002-02-18 00:00:00,ICICI,FDI hike: ICICI can marry an MNC bank
2002-02-19 00:00:00,HCL,Indiatimes; HCL in pact for voice recognition
2002-02-19 00:00:00,UPL,UNSCRUPLOUS INSURERS
2002-02-19 00:00:00,SBI,SBI lowers rates on personal loans
2002-02-19 00:00:00,NTPC,NTPC rejects govt's proposal to take over DPC
2002-02-20 00:00:00,ONGC,ONGC serves notice of removal on Enron India
2002-02-20 00:00:00,ONGC,ONGC production on decline
2002-02-20 00:00:00,HDFC,HDFC Standard Life launches personal pension plan
2002-02-20 00:00:00,ITC,ED to initiate prosecution against ITC; Shaw Wallace
2002-02-26 00:00:00,ICICI,ICICI-Pru's child policy
2002-02-26 00:00:00,HDFC,HDFC launches its credit card
2002-02-27 00:00:00,ONGC,ONGC likely to bid for BPCL; HPCL
